Total_area_contour,Total_perimeter_contour,area_hull,area_total,particles,perimeter_hull,perimeter_total,radius_circle,stickness
15279.5,7.656854153,22212.5,14361,78000,556.7828854,1660.459143,101.4467697,0.012
15440,5.656854153,22543.5,14537,79000,560.6341845,1697.571841,102.4249191,0.012
1520.5,7.656854153,1845,1432,8000,157.7303458,267.84776,26.39727783,0.012
15592.5,5.656854153,22889.5,14698.5,80000,565.0062766,1726.785044,103.2980118,0.012
1673,5.656854153,2049,1573,9000,166.0457625,309.7888849,28.32374382,0.012
242,5.656854153,305,220,1000,65.98845112,97.05382276,12.04047966,0.002
2065.5,5.656854153,2597.5,1936.5,10000,197.0985174,371.1442233,39.42724609,0.013
2211,5.656854153,2865,2117.5,11000,204.6440886,397.2863587,39.71470642,0.013
2399,5.656854153,3194.5,2289.5,12000,215.0604544,429.2274836,41.39269257,0.013
2583.5,5.656854153,3447,2456.5,13000,222.5151113,442.8843378,43.01172638,0.013
2766,5.656854153,3771,2637,14000,232.0796435,462.984843,44.76895142,0.013
2949,5.656854153,4092.5,2820,15000,242.3162324,510.4406867,46.52428818,0.013
3115.5,5.656854153,4332.5,2980.5,16000,250.856892,575.3940042,48.33228302,0.013
3367.5,7.656854153,4636.5,3199.5,17000,260.3738078,587.3940042,50.36129379,0.013
3731.5,7.656854153,4926.5,3470,18000,265.9596119,577.0092282,51.02215195,0.013
3877.5,5.656854153,5297,3638,19000,276.0523508,611.6366448,53.67737579,0.013
461,5.656854153,589.5,429,2000,92.71437407,146.1665206,16.77074051,0.013
4083.5,5.656854153,5516,3842.5,20000,280.9827532,650.9919833,54.34391022,0.013
4303.5,5.656854153,5789,4044,21000,288.1616607,657.5777698,55.91297913,0.013
4472,5.656854153,5988.5,4214.5,22000,293.2742822,691.7615353,56.57968903,0.013
4703.5,5.656854153,6294,4416.5,23000,298.70005,702.2468165,57.03079224,0.013
4913.5,5.656854153,6464,4621.5,24000,303.5169858,705.6193999,58.63669205,0.013
5106,5.656854153,6707,4812.5,25000,308.2993217,723.4772645,59.09324646,0.013
5263.5,5.656854153,7002,4973,26000,313.3968335,760.832603,60.41532898,0.013
5450.5,5.656854153,7151,5159.5,27000,317.3062941,762.8742331,60.66722488,0.013
5606.5,5.656854153,7462,5317.5,28000,322.6208943,821.6437851,61.71719742,0.013
5829.5,5.656854153,7766,5506,29000,330.1983123,888.7981131,63.73784256,0.013
683,5.656854153,863.5,615,3000,110.420027,189.9655101,20.59742928,0.013
6175.5,9.071067691,7994,5776,30000,335.0993232,849.6854153,64.01211548,0.013
6335.5,5.656854153,8248.5,5946,31000,341.6263324,897.141259,65.20180511,0.013
6509.5,9.071067691,8472.5,6130.5,32000,348.0328593,918.2123266,66.90882874,0.013
6745,5.656854153,8726,6344.5,33000,352.6346776,942.1534516,68.20933533,0.013
7045,5.656854153,8973.5,6585,34000,358.0597208,934.9402485,69.64562988,0.013
7268,5.656854153,9240.5,6782,35000,362.2716177,936.739238,69.64562988,0.013
7500,5.656854153,9559.5,6985,36000,369.6244671,937.0823839,71.87847137,0.013
7792.5,5.656854153,9863,7217,37000,375.5661312,939.0823839,72.9949646,0.013
7928.5,5.656854153,10253,7368.5,38000,381.5502262,997.4082848,74.06257629,0.013
8053,5.656854153,10454,7527.5,39000,386.6700906,1033.408285,74.98342896,0.013
879.5,10.48528123,1109.5,807.5,4000,127.6367871,232.1492757,24.82448196,0.013
8220.5,5.656854153,10724.5,7718,40000,389.6117258,1055.59205,74.98342896,0.013
8530.5,5.656854153,11031,7964.5,41000,396.7691029,1076.118962,76.8408432,0.013
8707.5,5.656854153,11344.5,8141,42000,402.4755604,1104.704748,77.77702332,0.013
8842,5.656854153,11504.5,8303.5,43000,404.7658899,1149.775816,78.12339783,0.013
9129.5,7.656854153,11896.5,8538,44000,409.8323908,1131.190029,78.54944611,0.013
9315,7.656854153,12079,8735,45000,413.5913522,1154.989019,79.23708344,0.013
9476.5,5.656854153,12464,8924,46000,420.302955,1195.415425,80.09067535,0.013
9705.5,5.656854153,12694.5,9123.5,47000,424.4865327,1192.829639,80.8719101,0.013
9942,5.656854153,12991.5,9331,48000,429.6356791,1182.444863,82.06866455,0.013
10149,9.071067691,13303,9528,49000,434.2721082,1200.729133,82.74216461,0.013
1100.5,5.656854153,1431,1018,5000,144.1551573,258.8771975,28.04470634,0.013
10299.5,5.656854153,13521.5,9688.5,50000,438.1673114,1253.256045,83.78703308,0.013
10546.5,16.72792184,13938,9906.5,51000,444.4083561,1295.682451,84.79691315,0.013
10750.5,5.656854153,14164,10103.5,52000,449.0285943,1308.025597,86.11775208,0.013
10986,5.656854153,14337,10310,53000,453.0018842,1320.126102,87.7098465,0.013
11296.5,5.656854153,14783,10565.5,54000,459.1152248,1346.510878,88.59158325,0.013
11451,7.656854153,14940.5,10750,55000,461.0188905,1342.268237,88.59158325,0.013
12263.5,5.656854153,15181.5,11246.5,56000,464.2705446,1208.202222,89.26655579,0.013
12470,5.656854153,15381.5,11443,57000,468.7761041,1232.586998,91.00833893,0.013
12573.5,5.656854153,15651.5,11586.5,58000,471.4199789,1279.599191,91.25474548,0.013
13114.5,5.656854153,15918,11943,59000,474.8363664,1212.101717,91.92076111,0.013
1323,5.656854153,1614,1234,6000,153.1986902,253.7056246,30.00843048,0.013
13421,7.656854153,16237.5,12179,60000,480.8481011,1212.444863,93.037323,0.013
13547.5,7.656854153,16581,12327,61000,484.682538,1269.55756,93.29666901,0.013
13760,5.656854153,16789.5,12523.5,62000,487.4992418,1269.030649,93.50009918,0.013
13901.5,5.656854153,17079.5,12672,63000,490.957041,1329.841831,94.45802307,0.013
14167,9.071067691,17411,12899,64000,495.7437546,1328.469248,95.38353729,0.013
14346.5,9.071067691,17543,13070,65000,498.0958084,1351.43981,95.9649353,0.013
14628.5,5.656854153,17802.5,13309,66000,502.1917303,1332.126102,96.87243652,0.013
14953.5,5.656854153,18266,13576.5,67000,509.1864036,1331.256045,97.57571411,0.013
15132.5,16.72792184,18535,13760.5,68000,512.8289661,1345.942336,98.08679199,0.013
15308,5.656854153,18874.5,13948.5,69000,517.3345144,1356.569753,99.00514984,0.013
1537.5,5.656854153,1874.5,1432,7000,164.9714779,278.3330412,32.55773926,0.013
6510.5,5.656854153,7683,6366,70000,322.2841544,683.3767593,57.40486908,0.002
15680,7.656854153,19376,14329.5,71000,524.5222332,1432.452003,101.1336746,0.013
15893,5.656854153,19518.5,14516,72000,527.2344944,1406.410373,101.1793976,0.013
16153,5.656854153,19917,14744,73000,532.6955715,1398.067227,102.5000992,0.013
16342.5,10.48528123,20344,14926.5,74000,538.8189875,1444.250992,103.6690445,0.013
16535.5,5.656854153,20582.5,15111.5,75000,542.8520191,1443.079419,105.1903992,0.013
16685,5.656854153,20859,15278,76000,547.5431218,1491.40532,106.5611115,0.013
16836.5,5.656854153,21173,15442,77000,551.8303334,1521.547456,106.929985,0.013
17102.5,5.656854153,21333.5,15657,78000,553.2966421,1499.062175,107.2777786,0.013
17382.5,5.656854153,21699.5,15876.5,79000,557.8757924,1484.819534,108.0857162,0.013
1686,5.656854153,2064.5,1593,8000,174.944288,303.5046141,34.61584854,0.013
17532.5,5.656854153,21933,16037.5,80000,561.2410545,1549.24594,108.0857162,0.013
1874,5.656854153,2296,1766,9000,185.9630194,312.4751766,37.75258255,0.013
242,5.656854153,305,220,1000,65.98845112,97.05382276,12.04047966,0.002
2256,5.656854153,2932,2107,10000,201.9307475,416.8427076,35.76490021,0.014
2463.5,5.656854153,3223,2304,11000,210.7516224,426.4995618,36.8597374,0.014
